target,rna_gene,mapping_class,core_panel_role,forward_n_donors,forward_observed_median,forward_shuffled_median,forward_delta_median,forward_bootstrap_lo,forward_bootstrap_hi,forward_sign_flip_p,forward_bh_q,forward_classification,reverse_n_donors,reverse_observed_median,reverse_shuffled_median,reverse_delta_median,reverse_bootstrap_lo,reverse_bootstrap_hi,reverse_sign_flip_p,reverse_bh_q,reverse_classification,integrated_classification,primary_inference_eligible
CD21,CR2,direct,primary,10,0.0634802300492849,0.0634802300492849,0.0,0.0,0.0,1.0,1.0,weak_or_non_transportable,30,0.187175307145911,0.187175307145911,0.0,0.0,0.0,1.0,1.0,weak_or_non_transportable,weak_or_non_transportable,True
CD57 Recombinant,B3GAT1,glycan_epitope_proxy,prespecified_sensitivity,10,0.0840688622838758,-0.0840688622838758,0.1681377245677516,0.1471815087072504,0.2161004377574502,0.0127974405118976,0.0453798129263036,context_dependent,30,0.11203221242517,-0.11203221242517,0.2240644248503401,0.1810045493804614,0.2504472376530746,0.0001999600079984,0.0004299140171965,stable_candidate,direction_dependent,False
CD16,FCGR3A;FCGR3B,ambiguous_paralogs,prespecified_sensitivity,10,0.3850216294576381,-0.3850216294576381,0.7700432589152763,0.6183334926426554,0.966707732802192,0.0137972405518896,0.0453798129263036,stable_candidate,30,0.4869578399002261,0.4869578399002261,0.0,0.0,0.0,1.0,1.0,weak_or_non_transportable,direction_dependent,False
HLA-DR,HLA-DRA;HLA-DRB1,heterodimer_proxy,prespecified_sensitivity,10,0.7829895983026838,-0.7829895983026838,1.5659791966053676,1.4144326844139354,1.6440768921740276,0.0151969606078784,0.0453798129263036,stable_candidate,30,0.6561747491185248,-0.6561747491185248,1.3123494982370496,1.2262285999267062,1.4008492907569188,0.0001999600079984,0.0004299140171965,stable_candidate,bidirectionally_stable,False
CD185 (CXCR5),CXCR5,direct,primary,10,0.7631032097170796,0.7631032097170796,0.0,0.0,0.0,1.0,1.0,weak_or_non_transportable,30,0.198493670686201,-0.198493670686201,0.396987341372402,0.3675577153825505,0.4873326069887493,0.0001999600079984,0.0004299140171965,stable_candidate,direction_dependent,True
CD279,PDCD1,direct,primary,10,0.0814238704424479,0.0814238704424479,0.0,0.0,0.0,1.0,1.0,weak_or_non_transportable,30,0.1545091310958038,-0.1545091310958038,0.3090182621916076,0.2461084251485644,0.3609342377125693,0.0003999200159968,0.0007476765516461,stable_candidate,direction_dependent,True
CD194 (CCR4),CCR4,direct,primary,10,0.7765799153475629,-0.7765799153475629,1.5531598306951258,1.2555060068966972,1.6335766279366646,0.0155968806238752,0.0453798129263036,stable_candidate,30,0.1668345308120616,-0.1668345308120616,0.3336690616241233,0.3124043392848388,0.3959252304633068,0.0001999600079984,0.0004299140171965,stable_candidate,bidirectionally_stable,True
CD319 (CRACC),SLAMF7,direct,primary,10,0.7148110493574306,0.7148110493574306,0.0,0.0,0.0,1.0,1.0,weak_or_non_transportable,30,0.1937838010317371,-0.1937838010317371,0.3875676020634742,0.3087550255844875,0.4221371418773645,0.0001999600079984,0.0004299140171965,stable_candidate,direction_dependent,True
CD155 (PVR),PVR,direct,primary,10,0.0042318323055861,-0.0042318323055861,0.0084636646111723,-0.0078649171501738,0.0383589022822598,0.0939812037592481,0.2126943032446142,weak_or_non_transportable,30,0.122857483948985,-0.122857483948985,0.2457149678979701,0.2056464758861051,0.2635500757479305,0.0001999600079984,0.0004299140171965,stable_candidate,direction_dependent,True
CD79b (Igβ),CD79B,direct,primary,10,0.8028452930037828,-0.8028452930037828,1.6056905860075656,1.4750677483400525,1.6624247398566585,0.0141971605678864,0.0453798129263036,stable_candidate,30,0.298788273961721,-0.298788273961721,0.5975765479234421,0.5467904728564164,0.65351742490449,0.0001999600079984,0.0004299140171965,stable_candidate,bidirectionally_stable,True
