source_cohort,held_out_donor,training_donors,n_training_cells,n_test_cells,target,model,scaler,seed,top_variable_genes,locked_genes,selected_features_ref,scaler_scale_ref,fold_seed,prediction_file,spearman,pearson,rmse,calibration_slope
GSE199219,CID3838,CID4040;CID4497;CID4513;CID4660;CID4664,5512,1635,CD8A,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID3838,GSE199219::CID3838,20260819,B2_oof_predictions_GSE199219.npy,0.518269141909456,0.6829465771992531,1.6280791538564527,2.2731735637612034
GSE199219,CID3838,CID4040;CID4497;CID4513;CID4660;CID4664,5512,1635,CD4,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID3838,GSE199219::CID3838,20260819,B2_oof_predictions_GSE199219.npy,0.5340221638246092,0.5660243109836601,1.3760535102741904,1.2446428885714378
GSE199219,CID3838,CID4040;CID4497;CID4513;CID4660;CID4664,5512,1635,CD14,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID3838,GSE199219::CID3838,20260819,B2_oof_predictions_GSE199219.npy,0.0010033729113818957,0.01884290194401319,2.11785961454777,0.03756166421783966
GSE199219,CID3838,CID4040;CID4497;CID4513;CID4660;CID4664,5512,1635,CD19,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID3838,GSE199219::CID3838,20260819,B2_oof_predictions_GSE199219.npy,0.018313503385550163,0.017534396311264088,1.9284432717284323,0.030963516218574794
GSE199219,CID3838,CID4040;CID4497;CID4513;CID4660;CID4664,5512,1635,CD56,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID3838,GSE199219::CID3838,20260819,B2_oof_predictions_GSE199219.npy,0.006029344558111086,0.013228736423619882,1.806966865044509,0.0179244812959678
GSE199219,CID3838,CID4040;CID4497;CID4513;CID4660;CID4664,5512,1635,HLA-DR,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID3838,GSE199219::CID3838,20260819,B2_oof_predictions_GSE199219.npy,0.20902151665723098,0.22356352754757133,1.3061497796767887,0.6090315392613624
GSE199219,CID3838,CID4040;CID4497;CID4513;CID4660;CID4664,5512,1635,PD-1,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID3838,GSE199219::CID3838,20260819,B2_oof_predictions_GSE199219.npy,0.17164131231059668,0.2107662168892592,0.6519573505907739,0.30764542580584703
GSE199219,CID3838,CID4040;CID4497;CID4513;CID4660;CID4664,5512,1635,PD-L1,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID3838,GSE199219::CID3838,20260819,B2_oof_predictions_GSE199219.npy,0.00969316184992776,-0.005264782472883842,1.0086686732135721,-0.009586013173514787
GSE199219,CID3838,CID4040;CID4497;CID4513;CID4660;CID4664,5512,1635,CTLA4,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID3838,GSE199219::CID3838,20260819,B2_oof_predictions_GSE199219.npy,0.0125872569377682,0.020454957150618475,1.895592701311917,0.03821953724662607
GSE199219,CID3838,CID4040;CID4497;CID4513;CID4660;CID4664,5512,1635,TIGIT,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID3838,GSE199219::CID3838,20260819,B2_oof_predictions_GSE199219.npy,0.08693907845079966,0.09506646093557997,1.4979038464816,0.21743911727041576
GSE199219,CID3838,CID4040;CID4497;CID4513;CID4660;CID4664,5512,1635,CD103,"Ridge(alpha=10, solver=lsqr, fit_intercept=True)",StandardScaler(with_mean=False),20260819,1000,26,GSE199219::CID3838,GSE199219::CID3838,20260819,B2_oof_predictions_GSE199219.npy,0.2891959977557363,0.505149187779395,2.2594432083092904,2.133010577857597
