source_cohort,held_out_donor,gene,scaler_scale
GSE199219,CID3838,ISG15,1.1298923899915727
GSE199219,CID3838,TNFRSF18,0.8276043079337551
GSE199219,CID3838,TNFRSF4,0.7900300241845291
GSE199219,CID3838,RPL22,0.8366110680834024
GSE199219,CID3838,PARK7,0.8758411342668808
GSE199219,CID3838,ENO1,0.8704926944787565
GSE199219,CID3838,TNFRSF1B,0.7481319626968789
GSE199219,CID3838,PRDM2,0.7031915057398461
GSE199219,CID3838,CAPZB,0.7925348995525965
GSE199219,CID3838,MINOS1,0.742391392932721
GSE199219,CID3838,HP1BP3,0.721823672875769
GSE199219,CID3838,CDC42,0.8628479633948386
GSE199219,CID3838,ID3,0.7366999987065809
GSE199219,CID3838,RPL11,0.7004286280739953
GSE199219,CID3838,PITHD1,0.6990296798329476
GSE199219,CID3838,SRSF10,0.7206074431630349
GSE199219,CID3838,RCAN3,0.7018248757385486
GSE199219,CID3838,SRRM1,0.8243978871794669
GSE199219,CID3838,RUNX3,0.8744796988447476
GSE199219,CID3838,SYF2,0.7381763784290221
GSE199219,CID3838,RSRP1,0.9570693503665592
GSE199219,CID3838,TMEM50A,0.7656231968973759
GSE199219,CID3838,STMN1,0.7717321449397937
GSE199219,CID3838,SH3BGRL3,0.9638045314258953
GSE199219,CID3838,CD52,1.0122812060868336
GSE199219,CID3838,HMGN2,0.8854019418923169
GSE199219,CID3838,IFI6,0.9696498052275913
GSE199219,CID3838,ATP5IF1,0.761939171100299
GSE199219,CID3838,SNHG12,0.8327666686982669
GSE199219,CID3838,LAPTM5,0.8926722297080684
GSE199219,CID3838,PTP4A2,0.7852630876094361
GSE199219,CID3838,LCK,0.8352492756851128
GSE199219,CID3838,MARCKSL1,0.8346294241279746
GSE199219,CID3838,SFPQ,0.9238115120219872
GSE199219,CID3838,NDUFS5,0.8575796480827843
GSE199219,CID3838,MACF1,0.712253159759955
GSE199219,CID3838,CAP1,0.7583864520391695
GSE199219,CID3838,SMAP2,0.7965176565560743
GSE199219,CID3838,YBX1,0.8887805143173314
GSE199219,CID3838,RPS8,0.7668043646375623
GSE199219,CID3838,PLK3,0.7795062287897366
GSE199219,CID3838,PRDX1,0.923588616052545
GSE199219,CID3838,NASP,0.8677686418138203
GSE199219,CID3838,UQCRH,0.8351697049389671
GSE199219,CID3838,TMEM59,0.8029595026392806
GSE199219,CID3838,DHCR24,0.10279666656656232
GSE199219,CID3838,JUN,1.4120192383920416
GSE199219,CID3838,JAK1,0.7796907565822521
GSE199219,CID3838,PDE4B,0.8093810310594528
GSE199219,CID3838,SERBP1,0.8064694653865665
GSE199219,CID3838,GADD45A,0.8501996708707213
GSE199219,CID3838,SRSF11,0.8162214205384555
GSE199219,CID3838,IFI44L,0.7066641471877604
GSE199219,CID3838,GNG5,0.767963165383691
GSE199219,CID3838,ODF2L,0.7391568234181509
GSE199219,CID3838,GTF2B,0.8700230508384278
GSE199219,CID3838,GBP2,0.7381697981237296
GSE199219,CID3838,GBP5,0.70184605328659
GSE199219,CID3838,RPL5,0.85896514778
GSE199219,CID3838,DNTTIP2,0.6889357376371668
GSE199219,CID3838,PRPF38B,0.856991248426581
GSE199219,CID3838,CD53,0.8781933469209398
GSE199219,CID3838,RAP1A,0.7495933491664075
GSE199219,CID3838,CAPZA1,0.7242560910594457
GSE199219,CID3838,PTPN22,0.8013627962041455
GSE199219,CID3838,BCAS2,0.8227633310041713
GSE199219,CID3838,CSDE1,0.7345872397461332
GSE199219,CID3838,ATP1A1,0.8112807414907219
GSE199219,CID3838,CD2,0.994160149721923
GSE199219,CID3838,TENT5C,0.7379580216383452
GSE199219,CID3838,HMGCS2,1.0
GSE199219,CID3838,RBM8A,0.8475128720317979
GSE199219,CID3838,TXNIP,1.3163778834719138
GSE199219,CID3838,MRPS21,0.6886089287342501
GSE199219,CID3838,MCL1,1.0338937761739546
GSE199219,CID3838,ENSA,0.6982258067200935
GSE199219,CID3838,S100A10,1.023234955935006
GSE199219,CID3838,S100A11,1.033011244320111
GSE199219,CID3838,S100A6,0.9943562349049497
GSE199219,CID3838,S100A4,1.1961468435501372
GSE199219,CID3838,JTB,0.7529429838493136
GSE199219,CID3838,RPS27,0.6907078089958926
GSE199219,CID3838,TPM3,0.8653081975373837
GSE199219,CID3838,PBXIP1,0.7222441023772369
GSE199219,CID3838,FDPS,0.5324192038972937
GSE199219,CID3838,ASH1L,0.6956700319419284
GSE199219,CID3838,SSR2,0.8222212907259803
GSE199219,CID3838,LMNA,1.3336507536695217
GSE199219,CID3838,CCT3,0.6980809960591485
GSE199219,CID3838,IFI16,0.8359264304564759
GSE199219,CID3838,TAGLN2,0.9167278373676014
GSE199219,CID3838,CD48,0.9193957866142204
GSE199219,CID3838,TSTD1,0.7202696003724287
GSE199219,CID3838,UFC1,0.7021448180210589
GSE199219,CID3838,HSPA6,0.7298116096224277
GSE199219,CID3838,HSD17B7,0.34394858011885593
GSE199219,CID3838,CD247,0.8302214021838769
GSE199219,CID3838,XCL2,0.8243793079388883
GSE199219,CID3838,XCL1,0.7502945863029814
GSE199219,CID3838,PRRC2C,0.8608888887786771
GSE199219,CID3838,PRDX6,0.6925332988501951
GSE199219,CID3838,CACYBP,0.8622733286172329
GSE199219,CID3838,IER5,0.9520597803961706
GSE199219,CID3838,ARPC5,0.7455667399229772
GSE199219,CID3838,IVNS1ABP,0.77413644798446
GSE199219,CID3838,TPR,0.7183143495747387
GSE199219,CID3838,RGS1,1.3192834939977256
GSE199219,CID3838,RGS2,0.9614312622895893
GSE199219,CID3838,PTPRC,0.8721440746910365
GSE199219,CID3838,PTPN7,0.7141646213863164
GSE199219,CID3838,BTG2,1.0307638725653556
GSE199219,CID3838,NUCKS1,0.7333149829396517
GSE199219,CID3838,CD55,0.8463956621155364
GSE199219,CID3838,TRAF3IP3,0.7239386754241752
GSE199219,CID3838,ATF3,0.9360493743298468
GSE199219,CID3838,H3F3A,0.8695481737095333
GSE199219,CID3838,ARF1,0.7878904979416548
GSE199219,CID3838,GUK1,0.8477301336953067
GSE199219,CID3838,TOMM20,0.7920014515851947
GSE199219,CID3838,ARID4B,0.8642036190280606
GSE199219,CID3838,LYST,0.7004823205121321
GSE199219,CID3838,HNRNPU,0.8903703165871798
GSE199219,CID3838,RPS7,0.7261244531680083
GSE199219,CID3838,ID2,1.1373978328282939
GSE199219,CID3838,YWHAQ,0.823480774580369
GSE199219,CID3838,ODC1,0.9526840180289846
GSE199219,CID3838,PDIA6,0.6917847242787241
GSE199219,CID3838,OST4,0.8610840645423528
GSE199219,CID3838,FOSL2,0.8344965363621724
GSE199219,CID3838,PPP1CB,0.8421713050387827
GSE199219,CID3838,YPEL5,1.065089904936861
GSE199219,CID3838,LBH,0.794822075914731
GSE199219,CID3838,SRSF7,0.9211895774329181
GSE199219,CID3838,EML4,0.8027151552978679
GSE199219,CID3838,COX7A2L,0.6913667845891165
GSE199219,CID3838,ZFP36L2,1.154353691174139
GSE199219,CID3838,CALM2,0.9752002083117652
GSE199219,CID3838,EPCAM,0.11140664157960666
GSE199219,CID3838,RTN4,0.7084325545520779
GSE199219,CID3838,REL,1.0803300558685043
GSE199219,CID3838,CCT4,0.7146373299082017
GSE199219,CID3838,UGP2,0.7313065997259334
GSE199219,CID3838,ACTR2,0.7644858244257211
GSE199219,CID3838,AAK1,0.7735228877212791
GSE199219,CID3838,PCBP1,0.7754295176639661
GSE199219,CID3838,SNRPG,0.7374453594196931
GSE199219,CID3838,TMSB10,0.7375867040373484
GSE199219,CID3838,MAT2A,0.6936926642169879
GSE199219,CID3838,VAMP8,0.7699336835559825
GSE199219,CID3838,GNLY,1.156438977658518
GSE199219,CID3838,CD8A,0.9170837459473749
GSE199219,CID3838,CD8B,0.7561898312875651
GSE199219,CID3838,CYTOR,0.7454305650100339
GSE199219,CID3838,IGKC,0.7103756655052191
GSE199219,CID3838,DUSP2,1.2284613008022993
GSE199219,CID3838,ARID5A,0.7336260415586536
GSE199219,CID3838,COX5B,0.8082243813962184
GSE199219,CID3838,RPL31,0.880184357307198
GSE199219,CID3838,GCC2,0.7889403501049168
GSE199219,CID3838,LIMS1,0.6958402753655013
GSE199219,CID3838,ACTR3,0.7889480894037401
GSE199219,CID3838,DDX18,0.7375381744320908
GSE199219,CID3838,DBI,0.8081229724739889
GSE199219,CID3838,GYPC,0.776727750533125
GSE199219,CID3838,MZT2B,0.8446120731080512
GSE199219,CID3838,MZT2A,0.7470943338528019
GSE199219,CID3838,UBXN4,0.737531316467293
GSE199219,CID3838,CXCR4,1.2693462286860735
GSE199219,CID3838,ARHGAP15,0.7168747820545793
GSE199219,CID3838,ZEB2,0.7542515253553729
GSE199219,CID3838,NR4A2,1.190811046270314
GSE199219,CID3838,CYTIP,0.9606397717239299
GSE199219,CID3838,TANK,0.8393092804838773
GSE199219,CID3838,PPIG,0.7661989942428185
GSE199219,CID3838,WIPF1,0.7735272830860684
GSE199219,CID3838,ATP5MC3,0.7007563984075855
GSE199219,CID3838,HNRNPA3,0.7712257370647648
GSE199219,CID3838,NFE2L2,0.8090804570374401
GSE199219,CID3838,ORMDL1,0.723911521821365
GSE199219,CID3838,GLS,0.8014909068799141
GSE199219,CID3838,STAT1,0.778605738704203
GSE199219,CID3838,NABP1,0.7694163929557656
GSE199219,CID3838,STK17B,0.8952296470828721
GSE199219,CID3838,ANKRD44,0.6902295572158409
GSE199219,CID3838,SF3B1,0.7705126314906309
GSE199219,CID3838,HSPD1,1.1162158673840377
GSE199219,CID3838,HSPE1,1.1351924371385764
GSE199219,CID3838,BZW1,0.7618080874595478
GSE199219,CID3838,CLK1,0.8529579981971368
GSE199219,CID3838,CFLAR,0.8130969463109451
GSE199219,CID3838,SUMO1,0.7383880935333603
GSE199219,CID3838,NOP58,0.7108059118276229
GSE199219,CID3838,CTLA4,0.8956929417790258
GSE199219,CID3838,ICOS,0.9330176342724837
GSE199219,CID3838,EEF1B2,0.903745301595853
GSE199219,CID3838,XRCC5,0.6897610397067737
