source_cohort,held_out_donor,gene,variance_rank_selected
GSE199219,CID3838,ISG15,True
GSE199219,CID3838,TNFRSF18,True
GSE199219,CID3838,TNFRSF4,True
GSE199219,CID3838,RPL22,True
GSE199219,CID3838,PARK7,True
GSE199219,CID3838,ENO1,True
GSE199219,CID3838,TNFRSF1B,True
GSE199219,CID3838,PRDM2,True
GSE199219,CID3838,CAPZB,True
GSE199219,CID3838,MINOS1,True
GSE199219,CID3838,HP1BP3,True
GSE199219,CID3838,CDC42,True
GSE199219,CID3838,ID3,True
GSE199219,CID3838,RPL11,True
GSE199219,CID3838,PITHD1,True
GSE199219,CID3838,SRSF10,True
GSE199219,CID3838,RCAN3,True
GSE199219,CID3838,SRRM1,True
GSE199219,CID3838,RUNX3,True
GSE199219,CID3838,SYF2,True
GSE199219,CID3838,RSRP1,True
GSE199219,CID3838,TMEM50A,True
GSE199219,CID3838,STMN1,True
GSE199219,CID3838,SH3BGRL3,True
GSE199219,CID3838,CD52,True
GSE199219,CID3838,HMGN2,True
GSE199219,CID3838,IFI6,True
GSE199219,CID3838,ATP5IF1,True
GSE199219,CID3838,SNHG12,True
GSE199219,CID3838,LAPTM5,True
GSE199219,CID3838,PTP4A2,True
GSE199219,CID3838,LCK,True
GSE199219,CID3838,MARCKSL1,True
GSE199219,CID3838,SFPQ,True
GSE199219,CID3838,NDUFS5,True
GSE199219,CID3838,MACF1,True
GSE199219,CID3838,CAP1,True
GSE199219,CID3838,SMAP2,True
GSE199219,CID3838,YBX1,True
GSE199219,CID3838,RPS8,True
GSE199219,CID3838,PLK3,True
GSE199219,CID3838,PRDX1,True
GSE199219,CID3838,NASP,True
GSE199219,CID3838,UQCRH,True
GSE199219,CID3838,TMEM59,True
GSE199219,CID3838,DHCR24,False
GSE199219,CID3838,JUN,True
GSE199219,CID3838,JAK1,True
GSE199219,CID3838,PDE4B,True
GSE199219,CID3838,SERBP1,True
GSE199219,CID3838,GADD45A,True
GSE199219,CID3838,SRSF11,True
GSE199219,CID3838,IFI44L,True
GSE199219,CID3838,GNG5,True
GSE199219,CID3838,ODF2L,True
GSE199219,CID3838,GTF2B,True
GSE199219,CID3838,GBP2,True
GSE199219,CID3838,GBP5,True
GSE199219,CID3838,RPL5,True
GSE199219,CID3838,DNTTIP2,True
GSE199219,CID3838,PRPF38B,True
GSE199219,CID3838,CD53,True
GSE199219,CID3838,RAP1A,True
GSE199219,CID3838,CAPZA1,True
GSE199219,CID3838,PTPN22,True
GSE199219,CID3838,BCAS2,True
GSE199219,CID3838,CSDE1,True
GSE199219,CID3838,ATP1A1,True
GSE199219,CID3838,CD2,True
GSE199219,CID3838,TENT5C,True
GSE199219,CID3838,HMGCS2,False
GSE199219,CID3838,RBM8A,True
GSE199219,CID3838,TXNIP,True
GSE199219,CID3838,MRPS21,True
GSE199219,CID3838,MCL1,True
GSE199219,CID3838,ENSA,True
GSE199219,CID3838,S100A10,True
GSE199219,CID3838,S100A11,True
GSE199219,CID3838,S100A6,True
GSE199219,CID3838,S100A4,True
GSE199219,CID3838,JTB,True
GSE199219,CID3838,RPS27,True
GSE199219,CID3838,TPM3,True
GSE199219,CID3838,PBXIP1,True
GSE199219,CID3838,FDPS,False
GSE199219,CID3838,ASH1L,True
GSE199219,CID3838,SSR2,True
GSE199219,CID3838,LMNA,True
GSE199219,CID3838,CCT3,True
GSE199219,CID3838,IFI16,True
GSE199219,CID3838,TAGLN2,True
GSE199219,CID3838,CD48,True
GSE199219,CID3838,TSTD1,True
GSE199219,CID3838,UFC1,True
GSE199219,CID3838,HSPA6,True
GSE199219,CID3838,HSD17B7,False
GSE199219,CID3838,CD247,True
GSE199219,CID3838,XCL2,True
GSE199219,CID3838,XCL1,True
GSE199219,CID3838,PRRC2C,True
GSE199219,CID3838,PRDX6,True
GSE199219,CID3838,CACYBP,True
GSE199219,CID3838,IER5,True
GSE199219,CID3838,ARPC5,True
GSE199219,CID3838,IVNS1ABP,True
