cohort,held_out_donor,target,reconstructed_spearman,legacy_spearman,absolute_difference
GSE199219,CID3838,CD8A,0.518269141909456,0.518269141909456,0.0
GSE199219,CID4040,CD8A,0.4644552637209892,0.4644552637209892,0.0
GSE199219,CID4497,CD8A,0.6426613597293482,0.6426613597293482,0.0
GSE199219,CID4513,CD8A,0.5967645677893793,0.5967645677893793,0.0
GSE199219,CID4660,CD8A,0.5765067723428166,0.5765067723428166,0.0
GSE199219,CID4664,CD8A,0.41768577136354607,0.417685771363546,5.551115123125783e-17
GSE199219,CID3838,CD4,0.5340221638246092,0.5340221638246092,0.0
GSE199219,CID4040,CD4,0.3313348921224849,0.3313348921224849,0.0
GSE199219,CID4497,CD4,0.4921366154006171,0.4921366154006171,0.0
GSE199219,CID4513,CD4,0.6940627920866415,0.6940627920866415,0.0
GSE199219,CID4660,CD4,0.5124340370011508,0.5124340370011508,0.0
GSE199219,CID4664,CD4,0.48672141018887943,0.4867214101888794,5.551115123125783e-17
GSE199219,CID3838,CD14,0.0010033729113818957,0.0010033729113818,9.562663161322149e-17
GSE199219,CID4040,CD14,-0.017238944684423985,-0.0172389446844239,8.673617379884035e-17
GSE199219,CID4497,CD14,0.055469724431093825,0.0554697244310938,2.7755575615628914e-17
GSE199219,CID4513,CD14,-0.06780622436997348,-0.0678062243699734,8.326672684688674e-17
GSE199219,CID4660,CD14,-0.049631998731294834,-0.0496319987312948,3.469446951953614e-17
GSE199219,CID4664,CD14,0.00814444739263196,0.0081444473926319,6.071532165918825e-17
GSE199219,CID3838,CD19,0.018313503385550163,0.0183135033855501,6.245004513516506e-17
GSE199219,CID4040,CD19,0.07144881237443375,0.0714488123744337,4.163336342344337e-17
GSE199219,CID4497,CD19,0.004632702366378876,0.0046327023663788,7.546047120499111e-17
GSE199219,CID4513,CD19,0.006968312242526534,0.0069683122425265,3.469446951953614e-17
GSE199219,CID4660,CD19,0.0841755633761164,0.0841755633761164,0.0
GSE199219,CID4664,CD19,0.06024283128199994,0.0602428312819999,4.163336342344337e-17
GSE199219,CID3838,CD56,0.006029344558111086,0.006029344558111,8.586881206085195e-17
GSE199219,CID4040,CD56,0.010854978411880333,0.0108549784118803,3.2959746043559335e-17
GSE199219,CID4497,CD56,0.03367218638746865,0.0336721863874686,4.85722573273506e-17
GSE199219,CID4513,CD56,0.02929585317815946,0.0292958531781594,5.898059818321144e-17
GSE199219,CID4660,CD56,-0.07101828911790253,-0.0710182891179025,2.7755575615628914e-17
GSE199219,CID4664,CD56,-0.009897499604033211,-0.0098974996040332,1.0408340855860843e-17
GSE199219,CID3838,HLA-DR,0.20902151665723098,0.2090215166572309,8.326672684688674e-17
GSE199219,CID4040,HLA-DR,0.05804928334333335,0.0580492833433333,4.85722573273506e-17
GSE199219,CID4497,HLA-DR,0.14887406424233618,0.1488740642423361,8.326672684688674e-17
GSE199219,CID4513,HLA-DR,0.3255830961914435,0.3255830961914435,0.0
GSE199219,CID4660,HLA-DR,0.14886295205498448,0.1488629520549844,8.326672684688674e-17
GSE199219,CID4664,HLA-DR,0.1973954872629924,0.1973954872629924,0.0
GSE199219,CID3838,PD-1,0.17164131231059668,0.1716413123105966,8.326672684688674e-17
GSE199219,CID4040,PD-1,0.03965431362488589,0.0396543136248858,9.020562075079397e-17
GSE199219,CID4497,PD-1,0.12655167155261454,0.1265516715526145,5.551115123125783e-17
GSE199219,CID4513,PD-1,0.24272804303200837,0.2427280430320083,8.326672684688674e-17
GSE199219,CID4660,PD-1,0.18658321996806054,0.1865832199680605,5.551115123125783e-17
GSE199219,CID4664,PD-1,0.15843592361527487,0.1584359236152748,5.551115123125783e-17
GSE199219,CID3838,PD-L1,0.00969316184992776,0.0096931618499277,6.071532165918825e-17
GSE199219,CID4040,PD-L1,-0.017527713823112266,-0.0175277138231122,6.591949208711867e-17
GSE199219,CID4497,PD-L1,-0.0103745011677023,-0.0103745011677023,0.0
GSE199219,CID4513,PD-L1,-0.007188378103821219,-0.0071883781038212,1.8214596497756474e-17
GSE199219,CID4660,PD-L1,-0.021665584305463836,-0.0216655843054638,3.469446951953614e-17
GSE199219,CID4664,PD-L1,-0.02140588347003906,-0.021405883470039,5.898059818321144e-17
GSE199219,CID3838,CTLA4,0.0125872569377682,0.0125872569377682,0.0
GSE199219,CID4040,CTLA4,0.05953012807323614,0.0595301280732361,4.163336342344337e-17
GSE199219,CID4497,CTLA4,0.00626126749223465,0.0062612674922346,4.9439619065339e-17
GSE199219,CID4513,CTLA4,0.06147201453668552,0.0614720145366855,2.0816681711721685e-17
GSE199219,CID4660,CTLA4,0.05727509315668067,0.0572750931566806,6.938893903907228e-17
GSE199219,CID4664,CTLA4,0.040474267448816506,0.0404742674488165,6.938893903907228e-18
GSE199219,CID3838,TIGIT,0.08693907845079966,0.0869390784507996,6.938893903907228e-17
GSE199219,CID4040,TIGIT,0.015453661184683219,0.0154536611846832,1.9081958235744878e-17
GSE199219,CID4497,TIGIT,0.007274202033408831,0.0072742020334088,3.122502256758253e-17
GSE199219,CID4513,TIGIT,0.0539819633058487,0.0539819633058487,0.0
GSE199219,CID4660,TIGIT,-0.07377824273969362,-0.0737782427396936,1.3877787807814457e-17
GSE199219,CID4664,TIGIT,0.04325499436342045,0.0432549943634204,4.85722573273506e-17
GSE199219,CID3838,CD103,0.2891959977557363,0.2891959977557363,0.0
GSE199219,CID4040,CD103,0.2536962523108071,0.2536962523108071,0.0
GSE199219,CID4497,CD103,0.4933033208528958,0.4933033208528958,0.0
GSE199219,CID4513,CD103,0.2362890576028071,0.2362890576028071,0.0
GSE199219,CID4660,CD103,0.3424307766128083,0.3424307766128083,0.0
