cohort,predicted_target,noncognate_observed_target,seed,mapping_rule
GSE199219,CD8A,CD56,20260902,fixed_random_derangement
GSE199219,CD4,PD-L1,20260902,fixed_random_derangement
GSE199219,CD14,CD19,20260902,fixed_random_derangement
GSE199219,CD19,PD-1,20260902,fixed_random_derangement
GSE199219,CD56,CTLA4,20260902,fixed_random_derangement
GSE199219,HLA-DR,TIGIT,20260902,fixed_random_derangement
GSE199219,PD-1,HLA-DR,20260902,fixed_random_derangement
GSE199219,PD-L1,CD103,20260902,fixed_random_derangement
GSE199219,CTLA4,CD4,20260902,fixed_random_derangement
GSE199219,TIGIT,CD14,20260902,fixed_random_derangement
GSE199219,CD103,CD8A,20260902,fixed_random_derangement
GSE267552,CD8A,CTLA4,20260902,fixed_random_derangement
GSE267552,CD4,PD-L1,20260902,fixed_random_derangement
GSE267552,CD14,CD4,20260902,fixed_random_derangement
GSE267552,CD19,HLA-DR,20260902,fixed_random_derangement
GSE267552,CD56,TIGIT,20260902,fixed_random_derangement
GSE267552,HLA-DR,CD103,20260902,fixed_random_derangement
GSE267552,PD-1,CD14,20260902,fixed_random_derangement
GSE267552,PD-L1,CD8A,20260902,fixed_random_derangement
GSE267552,CTLA4,PD-1,20260902,fixed_random_derangement
GSE267552,TIGIT,CD56,20260902,fixed_random_derangement
GSE267552,CD103,CD19,20260902,fixed_random_derangement
