fold_id,held_out_target,training_targets,selected_features,scaler_mean,scaler_scale,ridge_alpha,ridge_solver,observed_value,predicted_value
0,CD103,CD14;CD19;CD4;CD56;CD8A;CTLA4;HLA-DR;PD-1;PD-L1;TIGIT,target_cognate_rna_adt_rho;target_within_cohort_loo_rho,"[0.1250221982694215, 0.16797402509756895]","[0.14355142838400237, 0.1491514452174797]",1.0,auto,0.2688754723391735,0.15210337887333536
1,CD14,CD103;CD19;CD4;CD56;CD8A;CTLA4;HLA-DR;PD-1;PD-L1;TIGIT,target_cognate_rna_adt_rho;target_within_cohort_loo_rho,"[0.15249939166215482, 0.21014967420281888]","[0.13223744473636936, 0.1602997304836901]",1.0,auto,0.0004289507551633997,-0.026373992828463977
2,CD19,CD103;CD14;CD4;CD56;CD8A;CTLA4;HLA-DR;PD-1;PD-L1;TIGIT,target_cognate_rna_adt_rho;target_within_cohort_loo_rho,"[0.14525037205655109, 0.20665491170498013]","[0.14114853455058204, 0.1640034372776689]",1.0,auto,0.004415588905162349,0.018600246096272796
3,CD4,CD103;CD14;CD19;CD56;CD8A;CTLA4;HLA-DR;PD-1;PD-L1;TIGIT,target_cognate_rna_adt_rho;target_within_cohort_loo_rho,"[0.12692210282501376, 0.17857949005482884]","[0.14465752876786409, 0.1636967691846352]",1.0,auto,0.0242551442329064,0.1912250968240891
4,CD56,CD103;CD14;CD19;CD4;CD8A;CTLA4;HLA-DR;PD-1;PD-L1;TIGIT,target_cognate_rna_adt_rho;target_within_cohort_loo_rho,"[0.13904704065435197, 0.20641231765458926]","[0.14522296536040147, 0.1642270743281147]",1.0,auto,-0.008472994318769701,0.04857209694350135
5,CD8A,CD103;CD14;CD19;CD4;CD56;CTLA4;HLA-DR;PD-1;PD-L1;TIGIT,target_cognate_rna_adt_rho;target_within_cohort_loo_rho,"[0.1022141627318885, 0.16470898301031542]","[0.10286437832259757, 0.14264311707958088]",1.0,auto,0.2802461753717927,0.3099046513217567
6,CTLA4,CD103;CD14;CD19;CD4;CD56;CD8A;HLA-DR;PD-1;PD-L1;TIGIT,target_cognate_rna_adt_rho;target_within_cohort_loo_rho,"[0.14825829827484913, 0.20902925425261146]","[0.13803030632197813, 0.16158696251507235]",1.0,auto,-0.0165899625846624,0.002386518943639601
7,HLA-DR,CD103;CD14;CD19;CD4;CD56;CD8A;CTLA4;PD-1;PD-L1;TIGIT,target_cognate_rna_adt_rho;target_within_cohort_loo_rho,"[0.12649835098577453, 0.19016712651788026]","[0.14443538130926106, 0.17011675089687264]",1.0,auto,0.1908461807567802,0.12033587172790854
8,PD-1,CD103;CD14;CD19;CD4;CD56;CD8A;CTLA4;HLA-DR;PD-L1;TIGIT,target_cognate_rna_adt_rho;target_within_cohort_loo_rho,"[0.1273230351089169, 0.18790147313838312]","[0.14485484604906632, 0.16956713015985628]",1.0,auto,0.3123264335172258,0.11133676577327135
9,PD-L1,CD103;CD14;CD19;CD4;CD56;CD8A;CTLA4;HLA-DR;PD-1;TIGIT,target_cognate_rna_adt_rho;target_within_cohort_loo_rho,"[0.14742423989906372, 0.21025825042046026]","[0.13897373903391452, 0.1601698571826481]",1.0,auto,0.0017581139492545003,-0.0027087456330475296
10,TIGIT,CD103;CD14;CD19;CD4;CD56;CD8A;CTLA4;HLA-DR;PD-1;PD-L1,target_cognate_rna_adt_rho;target_within_cohort_loo_rho,"[0.12913026694840685, 0.18874343983319422]","[0.1455902738748277, 0.16981041818906942]",1.0,auto,0.0128235752909871,0.13692560843015866
