"analysis","target","timepoint","median","p","original_grade","q_bh_14","passes_q05"
"specificity","CD8A","pre",-0.0307044783188767,0.375,"SPECIFICITY NO-GO",0.477272727272727,FALSE
"specificity","CD4","pre",0.00920674815728576,0.8125,"SPECIFICITY NO-GO",0.8125,FALSE
"specificity","CD14","pre",-0.0754812533533741,0.03125,"SPECIFICITY NO-GO",0.109375,FALSE
"specificity","CD19","pre",0.0253464644950177,0.125,"SPECIFICITY EXPLORATORY",0.175,FALSE
"specificity","HLA-DR","pre",0.324391153456068,0.03125,"SPECIFICITY GO",0.109375,FALSE
"specificity","PD-1","pre",-0.00126300097887952,0.59375,"SPECIFICITY NO-GO",0.692708333333333,FALSE
"specificity","PD-L1","pre",-0.166419315141588,0.0625,"SPECIFICITY NO-GO",0.109375,FALSE
"specificity","CD8A","post",-0.00185415732876412,0.78125,"SPECIFICITY NO-GO",0.8125,FALSE
"specificity","CD4","post",0.0490088059953683,0.0625,"SPECIFICITY NO-GO",0.109375,FALSE
"specificity","CD14","post",-0.108890616098328,0.125,"SPECIFICITY NO-GO",0.175,FALSE
"specificity","CD19","post",0.0449348586834523,0.0625,"SPECIFICITY EXPLORATORY",0.109375,FALSE
"specificity","HLA-DR","post",0.126234683382149,0.03125,"SPECIFICITY GO",0.109375,FALSE
"specificity","PD-1","post",0.0339720430864049,0.0625,"SPECIFICITY NO-GO",0.109375,FALSE
"specificity","PD-L1","post",-0.13909206844539,0.0625,"SPECIFICITY NO-GO",0.109375,FALSE
"cd3e_conditional","CD8A","pre",0.0462637264088651,0.9375,"CONDITIONAL NO-GO",0.9375,FALSE
"cd3e_conditional","CD4","pre",0.0105521343591948,0.65625,"CONDITIONAL NO-GO",0.765625,FALSE
"cd3e_conditional","CD14","pre",-0.198135523133291,0.03125,"CONDITIONAL NO-GO",0.21875,FALSE
"cd3e_conditional","CD19","pre",0.0213268322585388,0.4375,"CONDITIONAL EXPLORATORY",0.596590909090909,FALSE
"cd3e_conditional","HLA-DR","pre",0.154036229311868,0.03125,"CONDITIONAL GO",0.21875,FALSE
"cd3e_conditional","PD-1","pre",0.0365516414550402,0.9375,"CONDITIONAL EXPLORATORY",0.9375,FALSE
"cd3e_conditional","PD-L1","pre",-0.0296042597206773,0.46875,"CONDITIONAL NO-GO",0.596590909090909,FALSE
"cd3e_conditional","CD8A","post",0.00715767335128005,0.3125,"CONDITIONAL NO-GO",0.546875,FALSE
"cd3e_conditional","CD4","post",0.00189959700265228,0.40625,"CONDITIONAL NO-GO",0.596590909090909,FALSE
"cd3e_conditional","CD14","post",-0.0956725653558326,0.125,"CONDITIONAL NO-GO",0.35,FALSE
"cd3e_conditional","CD19","post",0.0526246559187526,0.0625,"CONDITIONAL EXPLORATORY",0.291666666666667,FALSE
"cd3e_conditional","HLA-DR","post",0.0779731878750175,0.09375,"CONDITIONAL GO",0.328125,FALSE
"cd3e_conditional","PD-1","post",0.014360442037877,0.1875,"CONDITIONAL EXPLORATORY",0.375,FALSE
"cd3e_conditional","PD-L1","post",-0.0374028000373348,0.15625,"CONDITIONAL NO-GO",0.364583333333333,FALSE
