target,timepoint,n_sections,observed_median,ci_low,ci_high
CD14,post,6,-0.13756213663816796,-0.5772139916975536,0.04066513317696885
CD14,pre,6,-0.24490785720986286,-0.5051184310420251,-0.09739055739970276
CD19,post,6,0.08153726139692771,-0.1444094063613138,0.3275100592801139
CD19,pre,6,0.20994705075498216,-0.17512283028737094,0.46053385416846315
CD4,post,6,0.09621490336045305,-0.1110564473565318,0.30977728275534766
CD4,pre,6,-0.19952670899086,-0.6929996066799866,0.2528152333463609
CD8A,post,6,0.03549819263725885,-0.2257648013655544,0.3033207966875716
CD8A,pre,6,-0.17558658311983275,-0.5215534127521633,0.19369376091921867
HLA-DR,post,6,0.298713443673876,0.12502206255249473,0.44228220275779073
HLA-DR,pre,6,0.2969192325297042,0.20201475719181916,0.5733935668500589
PD-1,post,6,0.029550683668068,-0.20669927644519176,0.17441047251853203
PD-1,pre,6,-0.0016002930292581502,-0.40411938969572675,0.2841699097415094
PD-L1,post,6,-0.1584566119466558,-0.36789170091345147,0.0780332282818008
PD-L1,pre,6,-0.1004599611371694,-0.5168953432051533,0.0767125888552146
