feature,donor,cell_type,concentration,rep,residual,frac_donor,frac_cell_type,frac_concentration,frac_rep,frac_residual,converged,error
CD230,0.0016089002702808664,0.010241049345380573,0.0015362547003046536,0.0123643533357112,0.18497691343078354,0.007634981153697229,0.04859854907751015,0.007290244088315822,0.05867461547466131,0.8778016102058155,True,
Hu.B7.H4,0.21295874446048077,0.0020065640520519706,0.0003051219035117627,0.1332568858699532,0.2673115734111794,0.34580268966969224,0.003258261349877801,0.000495457348693582,0.21638270674247098,0.43406088488926536,True,
Hu.C5L2,0.12617033727060423,8.618399416469967e-05,0.05774290511555243,0.056140605694092446,0.1799519658671926,0.3003397776887484,0.000205155048386995,0.13745299933939426,0.13363883618153588,0.4283632317419344,False,
Hu.CCR10,0.1995826350520886,0.000133516161103707,0.01991055652274603,0.11329549353781636,0.26368886282887655,0.33452721054089546,0.00022379095718670592,0.033372757765888404,0.18989841180405406,0.4419778289319754,True,
Hu.CD10,0.24623307805689706,0.07829991421790268,0.005289140084830514,0.15079322572459203,0.31184767412858216,0.31071869355134124,0.09880576258461526,0.006674305134539313,0.1902842398888062,0.39351699884069796,False,
Hu.CD101,0.19055770053049936,0.011539279568171626,0.005622866525186936,0.11429803921014516,0.24332311535971962,0.33706683245711005,0.020411184654582512,0.009945973338771117,0.20217539320304703,0.4304006163464894,True,
Hu.CD102,2.5376881434858945e-05,0.011695911988944931,0.0034190390938375337,0.00363963456138524,0.18146440030743333,0.00012672956719395008,0.05840819598350942,0.01707433380628215,0.018175965155233727,0.9062147754877807,True,
Hu.CD103,0.15141095420223005,0.0002602993919028799,0.04558774314971048,0.07188847272509426,0.21050903733814727,0.3156653814833511,0.0005426787465797286,0.09504247832094062,0.14987490361307115,0.43887455783605744,True,
Hu.CD105_43A3,0.1978175075686997,0.0013050649551704567,0.09184103913969824,0.09063251265905252,0.2814382265188662,0.29835182342761046,0.0019683217822939933,0.13851626091942082,0.13669354015222088,0.4244700537184538,True,
Hu.CD106,0.002142536913113297,0.0009821382016753843,0.0015277383906031957,0.001803725536247007,0.2724111084427005,0.007682999464587957,0.0035218843752188546,0.005478371534789112,0.0064680436749686805,0.9768487009504354,True,
Hu.CD107a,0.2087916944703271,0.0008712440943153631,0.00016535652759424758,0.13402351569353835,0.26094129910682173,0.3452282955197782,0.0014405655092037746,0.0002734100717906867,0.22160225290486382,0.43145547599436346,True,
Hu.CD109,0.0032224074956260754,0.004884720820217372,0.00018915631890696011,0.007312610563625358,0.25477863936114525,0.011917736891516052,0.018065628758274308,0.0006995748499098087,0.027044924891001645,0.9422721346092982,True,
Hu.CD110,0.1758248273876845,0.01001859020751387,0.06412849058254334,0.08018683801847737,0.24738265630722683,0.3044367496867646,0.01734696450174253,0.11103704479811856,0.13884171363454578,0.42833752737882863,True,
Hu.CD112,0.13000992681781012,0.0010488273247195577,0.0034885610019843643,0.07956299678882928,0.16576697945640376,0.3422419022263227,0.0027609634702893578,0.009183389165542842,0.20944394043075112,0.43636980470709397,True,
Hu.CD115,0.24536860308616315,0.0004140143157696345,0.0007520456965803826,0.15312316054988243,0.3085197755857807,0.34647891058896085,0.0005846193330844549,0.0010619450507805461,0.21622141213654583,0.43565311289062825,False,
Hu.CD116,0.20000096382050042,0.0013675462610722936,0.09776223126688116,0.08908142167398071,0.2847114708357619,0.297211977343994,0.002032245848212359,0.1452798302035597,0.132379689450397,0.4230962571538369,True,
Hu.CD117,0.10488731649116739,0.1060226715158678,2.6336571367519094e-05,7.488626447478805e-06,0.2698593503828218,0.21815022120178235,0.22051159298691908,5.47762023257086e-05,1.5575243705968863e-05,0.561267834365267,True,
Hu.CD119,0.18236306622078816,0.0003514689689230952,0.004790429067871596,0.1072077393180037,0.234576477796464,0.3445433472644524,0.0006640395860954484,0.009050683891655597,0.20255040739751054,0.44319152186028593,False,
Hu.CD11a,0.004445272104058751,0.5145994226404975,0.035340830986480345,0.009718410735022751,0.27372121165165286,0.0053057277094697595,0.6142086135712385,0.042181630696904136,0.01159956914262657,0.3267044588797611,True,
Hu.CD11b,0.007918307380123807,0.002076098333152137,0.0005750510001191982,0.013048559341706213,0.010380953083011183,0.23289845489013533,0.06106356709576966,0.016913777526112436,0.3837927935020505,0.30533140698593203,True,
Hu.CD11c,6.492797614942313e-08,0.0022323153833078697,0.00023768237672937558,0.010388030514411698,0.009613158757967812,2.889379562111762e-06,0.09934094403117708,0.0105771755462627,0.46228089706444936,0.42779809397854873,True,
Hu.CD122,0.07265006916594798,0.0030505107060908275,6.463893449466638e-05,0.0037248192571564245,0.22998795354557064,0.23475035749124998,0.009856955223951204,0.00020886439826802916,0.01203581307280581,0.743148009813725,True,
Hu.CD123,8.203494275597588e-08,0.0021272987174895857,0.0002403792145506054,0.010174556542594559,0.010882462695684854,3.5020583134267832e-06,0.0908140349520003,0.010261749425437675,0.43435015772993296,0.4645705558343157,True,
Hu.CD124,0.1775318870483481,0.0009731290935382125,0.0003034165400063528,0.11555960101667477,0.22265139584062338,0.34337565844784357,0.00188219056758765,0.0005868571327711649,0.22351113790766194,0.43064415594413574,True,
Hu.CD126,0.09831951725668768,0.0005980153741987327,7.092939332466418e-06,0.004070100362509177,0.2954350377633879,0.24676750136487388,0.001500930474297702,1.780223261100602e-05,0.010215352198470442,0.7414984137297469,True,
Hu.CD127,0.1293573448574834,0.004717720238210577,0.00014220641500053893,0.02695998570004876,0.22719002061403976,0.3330799277992845,0.012147573978513808,0.0003661647701037707,0.06941878793458009,0.5849875455175179,True,
Hu.CD13,0.22062005253716585,0.0008909000230765886,0.0017837811228947032,0.13437189444248543,0.27971605353793816,0.34613436932636815,0.0013977474580127449,0.002798603059372522,0.21081823888245046,0.43885104127379615,True,
Hu.CD131,0.17273399196991585,8.533188132506928e-06,0.005722118750760317,0.10021276680239058,0.2232709988726984,0.3441269833150939,1.7000129833224738e-05,0.01139981448592258,0.19964754323151337,0.44480865883763704,False,
Hu.CD133_S16016B,0.0004059437102221439,0.009961648475511007,0.0007488107910678794,0.0018352304961035694,0.20164425409157455,0.0018916658414536063,0.0464205003579943,0.0034893995386695653,0.00855203012943173,0.9396464041324508,True,
Hu.CD134,0.12252016724715661,0.0017460644135187,0.027641809808973055,0.06802731504183217,0.16731946504651357,0.31638125706023873,0.004508825497624475,0.07137886546580673,0.17566550822568544,0.4320655437506446,True,
Hu.CD135,0.20761564233376995,0.0007025837734002034,0.001679927434347888,0.13154341947481607,0.2618401907715467,0.3440867039640219,0.0011644100229174263,0.0027841866214214383,0.21801026708036247,0.4339544323112767,True,
Hu.CD137,0.22509517195615059,5.602181363096649e-06,0.0011129130404034504,0.1384652776969486,0.2842840926680787,0.34685359873702076,8.632511971185556e-06,0.0017149096970435864,0.21336388271652243,0.43805897633744195,True,
Hu.CD137L,3.156789241971921e-05,0.0009951756616775605,0.0005709527835619746,0.004616627224864166,0.2715451193301343,0.00011365191437224643,0.0035828688714001837,0.002055565699642563,0.016620955085398473,0.9776269584291865,True,
Hu.CD138_DL.101,0.0010333379576484135,0.004801315595203021,0.0019654149722329235,0.010269550082495716,0.11308616888497676,0.007878706516912616,0.036607729532907564,0.014985346890196989,0.0783003958790497,0.8622278211809332,True,
