feature,converged,duplicated,mean_clr,sd_clr,cv,donor_mean_sd,donor_mean_cv,specificity,frac_signal_top_cluster,frac_donor,frac_rep,frac_concentration
CD230,True,False,1.1274962766621555,0.4504410260618962,0.39950555526035403,0.061387560503240984,0.05421364989787988,1.4907834439006147,0.019112608255136086,0.0076349811536972,0.0586746154746613,0.0072902440883158
Hu.B7.H4,True,False,-0.08579957674229592,0.5184950705005164,6.043095900785698,0.013296247440345993,0.1527672224925534,,,0.3458026896696922,0.2163827067424709,0.0004954573486935
Hu.C5L2,False,False,-0.4480762395777716,0.4261078042848694,0.9509716576054036,0.005333078749368103,0.011893375592921862,,,0.3003397776887484,0.1336388361815358,0.1374529993393942
Hu.CCR10,True,False,0.550730995640656,0.5193141125154238,0.9429542129026433,0.002446289757162809,0.0044440192958987166,1.6481266707935165,0.02112982911273739,0.3345272105408954,0.189898411804054,0.0333727577658884
Hu.CD10,False,False,0.2861583093554647,0.6143691388573486,2.1469554395996298,0.039911063299795484,0.14033597423681812,8.006889945397061,0.10265243519739824,0.3107186935513412,0.1902842398888062,0.0066743051345393
Hu.CD101,True,False,-0.2797071551766947,0.4983336886174606,1.7816265311577626,0.007980970836309104,0.028566404582748516,,,0.33706683245711,0.202175393203047,0.0099459733387711
Hu.CD102,True,False,-0.4538992277494009,0.44167427461690206,0.9730668122236853,0.04156067732032103,0.09226940173776725,,,0.0001267295671939,0.0181759651552337,0.0170743338062821
Hu.CD103,True,False,-0.36230334103709094,0.4602499446862788,1.270344191054977,0.02063868045598148,0.0567315669565936,,,0.3156653814833511,0.1498749036130711,0.0950424783209406
Hu.CD105_43A3,True,False,0.49050536095672176,0.5365201376727722,1.0938109557585658,0.030187141648730174,0.06186401178927173,3.5280813258522103,0.045231811869900135,0.2983518234276104,0.1366935401522208,0.1385162609194208
Hu.CD106,True,False,0.14264318371421855,0.5244408495541995,3.676592430837083,0.012829177363041927,0.08929979009015912,4.462263400533176,0.057208505135040714,0.0076829994645879,0.0064680436749686,0.0054783715347891
Hu.CD107a,True,False,0.36779947082271813,0.5162563456293369,1.4036353681383515,0.03413897788488038,0.09198658227196484,2.432112809829706,0.031180933459355208,0.3452282955197782,0.2216022529048638,0.0002734100717906
Hu.CD109,True,False,0.649492624946752,0.5119655918350123,0.7882546655198515,0.01753527405526896,0.027078918320368208,1.8233551775805967,0.02337634843052047,0.011917736891516,0.0270449248910016,0.0006995748499098
Hu.CD110,True,False,-0.2564698810878363,0.5038330388043194,1.9644920357403124,0.019275523074511993,0.07476700609280522,,,0.3044367496867646,0.1388417136345457,0.1110370447981185
Hu.CD112,True,False,-0.49149433188513497,0.41064124445985206,0.835495381777508,0.007525540990794185,0.01529294389412678,,,0.3422419022263227,0.2094439404307511,0.0091833891655428
