donor,concentration,rep,n_cells,n_cell_types,top_cell_type,top_cell_type_n_cells
WM22,0.25,rep1,644,57,T CD8 Naive-1,136
WM22,0.25,rep2,680,52,T CD8 Naive-1,130
WM22,0.5,rep1,594,54,T CD8 Naive-1,118
WM22,0.5,rep2,600,60,T CD8 Naive-1,126
WM22,1,rep1,669,58,T CD8 Naive-1,141
WM22,1,rep2,713,53,T CD8 Naive-1,150
WM22,2,rep1,702,58,T CD8 Naive-1,133
WM22,2,rep2,777,53,T CD8 Naive-1,154
WM22,4,rep1,885,61,T CD8 Naive-1,189
WM22,4,rep2,875,64,T CD8 Naive-1,209
WF32,0.25,rep1,766,48,T CD8 Naive-1,164
WF32,0.25,rep2,834,43,T CD8 Naive-1,206
WF32,0.5,rep1,737,47,T CD8 Naive-1,167
WF32,0.5,rep2,801,45,T CD8 Naive-1,177
WF32,1,rep1,744,50,T CD8 Naive-1,169
WF32,1,rep2,797,50,T CD8 Naive-1,177
WF32,2,rep1,748,51,T CD8 Naive-1,173
WF32,2,rep2,766,49,T CD8 Naive-1,172
WF32,4,rep1,550,46,T CD8 Naive-1,139
WF32,4,rep2,565,44,T CD8 Naive-1,109
BF32,0.25,rep1,828,43,T CD8 Naive-1,287
BF32,0.25,rep2,812,42,T CD8 Naive-1,242
BF32,0.5,rep1,763,42,T CD8 Naive-1,249
BF32,0.5,rep2,766,45,T CD8 Naive-1,225
BF32,1,rep1,832,48,T CD8 Naive-1,261
BF32,1,rep2,831,45,T CD8 Naive-1,263
BF32,2,rep1,742,43,T CD8 Naive-1,233
BF32,2,rep2,756,48,T CD8 Naive-1,234
BF32,4,rep1,836,49,T CD8 Naive-1,287
BF32,4,rep2,795,44,T CD8 Naive-1,245
BM32,0.25,rep1,998,46,T CD8 Naive-1,269
BM32,0.25,rep2,910,39,T CD8 Naive-1,246
BM32,0.5,rep1,989,47,T CD8 Naive-1,282
BM32,0.5,rep2,993,52,T CD8 Naive-1,272
BM32,1,rep1,709,43,T CD8 Naive-1,154
BM32,1,rep2,962,46,T CD8 Naive-1,244
BM32,2,rep1,1009,45,T CD8 Naive-1,286
BM32,2,rep2,967,46,T CD8 Naive-1,254
BM32,4,rep1,962,45,T CD8 Naive-1,291
BM32,4,rep2,944,47,T CD8 Naive-1,243
