cohort,target,pooled,within_ct_median,within_ct_min,ct_adjusted,ct_baseline,donor_median,donor_p10,donor_min,donor_n,n_cells
GSE334503,CD21,0.2287351947920891,0.11002470808965445,0.02220690021631837,0.11614446655796216,0.6179419762951454,0.20934569249866153,0.13713718510100126,0.08811492730359394,30,272929
GSE334503,CD57 Recombinant,0.1326368150121957,0.0946441744980866,0.052759958117900616,0.11412253832585205,0.486420192553174,0.12432697657414457,0.08431525450091486,0.06690750437768887,30,272929
GSE334503,CD16,0.5412084959774454,0.35635396034507416,0.11412382532416618,0.3466601489947277,0.4796264046655504,0.5371530077291526,0.41014902895161953,0.35583228805717326,30,272929
GSE334503,HLA-DR,0.7453557867706693,0.3164230888684093,0.1213490469266905,0.17406972468992035,0.670540518436362,0.744221710669678,0.6487888229052117,0.5810983256031934,30,272929
GSE334503,CD185 (CXCR5),0.26199740683695383,0.07259357620208003,0.019868710210833695,0.0640857562894406,0.29683606883682573,0.2537360031416733,0.1559584210643162,0.10603369463090805,30,272929
GSE334503,CD279,0.1597041962769625,0.09844122884616377,0.0517088552077751,0.15595416683722058,0.2058347906155716,0.15311426359714447,0.08256554142670758,0.07044488434181569,30,272929
GSE334503,CD194 (CCR4),0.19303795158659573,0.08801718682436696,0.056177593009687166,0.17275494407031397,0.4871109655444107,0.15571686908427995,0.09442161048355444,0.06449625569611318,30,272929
GSE334503,CD319 (CRACC),0.1592088476928917,0.13089589583205083,0.03673055913249405,0.11450845241160781,0.4472697581689242,0.16575601595356754,0.03837793711097672,0.023157850562160086,30,272929
GSE334503,CD155 (PVR),0.14324737103428659,0.04123797536147934,0.017079042753776696,0.04220863175699922,0.5919291420586024,0.1319330203446109,0.1046744492661869,0.07503996473286723,30,272929
GSE334503,CD79b (Igβ),0.3954452891807617,0.11362932902061836,-0.005941226877279262,0.04508758387663786,0.37478678374350693,0.36818287335146693,0.252830051912921,0.12544466186966075,30,272929
GSE334503,CD107a (LAMP-1),-0.009738819348810176,0.019281787188818643,-0.006642313100224611,0.02118686443859908,0.3871566485267918,-0.004527547881956121,-0.02944245126262455,-0.045852169268077905,30,272929
GSE334503,CD137 (4-1BB),0.03790751950108177,0.035384664748411856,0.004765559896645917,0.043105149785651574,0.1602029262852474,0.03838281230797305,0.0179518010001367,0.013927342038973318,30,272929
GSE334503,CD223 (LAG-3),0.0797801255640946,0.01462244011623276,-0.030255642889291917,0.1116240266114394,0.2884913406720496,0.06814160344308423,0.006745881447867477,-0.024010158586831955,30,272929
GSE334503,CD314 (NKG2D),0.4263973736899906,0.10241161791329126,0.07732043044908946,0.08761032443977534,0.5155735887037735,0.42846249507177414,0.24951655807819298,0.22152151394901365,30,272929
GSE334503,CD3,0.7488469979901784,0.5797911767014435,0.06914363743054068,0.39025425824247706,0.7333839395680426,0.6950290605107027,0.6350545087400213,0.5495069202936358,30,272929
GSE334503,CD45RO,0.09213414714976426,0.14173853410902806,-0.034705356523181706,0.10729257129748478,0.4762274857555229,0.060680813976924396,-0.03318463497866263,-0.08521005450956129,30,272929
GSE334503,CD19,0.4548786704407916,0.10990696789747745,0.021108545739074662,0.08543467043977958,0.46100847182791693,0.42774925396080365,0.3480174320572578,0.240481810563973,30,272929
GSE334503,CD123,0.0933179516625496,0.05423092727690676,-8.005004077111631e-05,0.052197961447248295,0.36203724508836244,0.08960507476372179,0.04506045205811163,0.03820395994449495,30,272929
GSE334503,CD11b,0.3230412323948791,0.0827923530581301,0.006547952780836298,0.07474231350133707,0.6239690863003524,0.31266724664687245,0.2199084961958875,0.18348449721371124,30,272929
GSE334503,CD103 (Integrin αE),-0.02083792759921554,-0.02259847296444591,-0.06045450072263883,-0.013184982714971451,0.17498403258423462,-0.019705151931538118,-0.036674247993522105,-0.04166297075584045,30,272929
GSE334503,CD303 (BDCA-2),0.07261084056706393,0.002381006713709701,-0.005618747804148829,0.056398935202875276,0.26738348455177674,0.0710938222241925,0.034192855023647786,0.0011995909884173653,30,272929
GSE334503,CD1c,0.31753237128131373,0.18570365361231095,0.011634993745839612,0.23860907367237175,0.4153159234464587,0.26266735619014336,0.225156727341861,0.20965613749092016,30,272929
GSE334503,CD196 (CCR6),0.049629449269039755,-0.01280741275898653,-0.051812863574028346,-0.012792824801263689,0.45635049439175157,0.024145516278972795,-0.04376918098596614,-0.08148632216530328,30,272929
