cohort,target,pooled,within_ct_median,within_ct_min,ct_adjusted,ct_baseline,donor_median,donor_p10,donor_min,donor_n,n_cells
GSE334503,CD21,0.2287351947920891,0.1100247080896544,0.0222069002163183,0.1161444665579621,0.6179419762951454,0.2093456924986615,0.1371371851010012,0.0881149273035939,30,272929
GSE334503,CD57 Recombinant,0.1326368150121957,0.0946441744980866,0.0527599581179006,0.114122538325852,0.486420192553174,0.1243269765741445,0.0843152545009148,0.0669075043776888,30,272929
GSE334503,CD16,0.5412084959774454,0.3563539603450741,0.1141238253241661,0.3466601489947277,0.4796264046655504,0.5371530077291526,0.4101490289516195,0.3558322880571732,30,272929
GSE334503,HLA-DR,0.7453557867706693,0.3164230888684093,0.1213490469266905,0.1740697246899203,0.670540518436362,0.744221710669678,0.6487888229052117,0.5810983256031934,30,272929
GSE334503,CD185 (CXCR5),0.2619974068369538,0.07259357620208,0.0198687102108336,0.0640857562894406,0.2968360688368257,0.2537360031416733,0.1559584210643162,0.106033694630908,30,272929
GSE334503,CD279,0.1597041962769625,0.0984412288461637,0.0517088552077751,0.1559541668372205,0.2058347906155716,0.1531142635971444,0.0825655414267075,0.0704448843418156,30,272929
GSE334503,CD194 (CCR4),0.1930379515865957,0.0880171868243669,0.0561775930096871,0.1727549440703139,0.4871109655444107,0.1557168690842799,0.0944216104835544,0.0644962556961131,30,272929
GSE334503,CD319 (CRACC),0.1592088476928917,0.1308958958320508,0.036730559132494,0.1145084524116078,0.4472697581689242,0.1657560159535675,0.0383779371109767,0.02315785056216,30,272929
GSE334503,CD155 (PVR),0.1432473710342865,0.0412379753614793,0.0170790427537766,0.0422086317569992,0.5919291420586024,0.1319330203446109,0.1046744492661869,0.0750399647328672,30,272929
GSE334503,CD79b (Igβ),0.3954452891807617,0.1136293290206183,-0.0059412268772792,0.0450875838766378,0.3747867837435069,0.3681828733514669,0.252830051912921,0.1254446618696607,30,272929
GSE334503,CD107a (LAMP-1),-0.0097388193488101,0.0192817871888186,-0.0066423131002246,0.021186864438599,0.3871566485267918,-0.0045275478819561,-0.0294424512626245,-0.0458521692680779,30,272929
GSE334503,CD137 (4-1BB),0.0379075195010817,0.0353846647484118,0.0047655598966459,0.0431051497856515,0.1602029262852474,0.038382812307973,0.0179518010001367,0.0139273420389733,30,272929
GSE334503,CD223 (LAG-3),0.0797801255640946,0.0146224401162327,-0.0302556428892919,0.1116240266114394,0.2884913406720496,0.0681416034430842,0.0067458814478674,-0.0240101585868319,30,272929
GSE334503,CD314 (NKG2D),0.4263973736899906,0.1024116179132912,0.0773204304490894,0.0876103244397753,0.5155735887037735,0.4284624950717741,0.2495165580781929,0.2215215139490136,30,272929
GSE334503,CD3,0.7488469979901784,0.5797911767014435,0.0691436374305406,0.390254258242477,0.7333839395680426,0.6950290605107027,0.6350545087400213,0.5495069202936358,30,272929
GSE334503,CD45RO,0.0921341471497642,0.141738534109028,-0.0347053565231817,0.1072925712974847,0.4762274857555229,0.0606808139769243,-0.0331846349786626,-0.0852100545095612,30,272929
GSE334503,CD19,0.4548786704407916,0.1099069678974774,0.0211085457390746,0.0854346704397795,0.4610084718279169,0.4277492539608036,0.3480174320572578,0.240481810563973,30,272929
GSE334503,CD123,0.0933179516625496,0.0542309272769067,-8.005004077111631e-05,0.0521979614472482,0.3620372450883624,0.0896050747637217,0.0450604520581116,0.0382039599444949,30,272929
GSE334503,CD11b,0.3230412323948791,0.0827923530581301,0.0065479527808362,0.074742313501337,0.6239690863003524,0.3126672466468724,0.2199084961958875,0.1834844972137112,30,272929
GSE334503,CD103 (Integrin αE),-0.0208379275992155,-0.0225984729644459,-0.0604545007226388,-0.0131849827149714,0.1749840325842346,-0.0197051519315381,-0.0366742479935221,-0.0416629707558404,30,272929
GSE334503,CD303 (BDCA-2),0.0726108405670639,0.0023810067137097,-0.0056187478041488,0.0563989352028752,0.2673834845517767,0.0710938222241925,0.0341928550236477,0.0011995909884173,30,272929
