"analysis","target","observed_pooled_spearman","shuffled_pooled_spearman","delta_observed_minus_shuffled","observed_donor_median","shuffled_donor_median","observed_directional_flag","shuffled_directional_flag","superiority_gate"
"BC-to-NSCLC (full)","TIGIT",0.0657723318137846,0.0195476907966898,0.0462246410170948,0.132128522042588,0.0079289146078798,"False","False","True"
"BC-to-NSCLC","TIGIT",0.0657723242419474,0.019547685968193,0.0462246382737544,0.132128522042588,0.007928875172969,"False","False","True"
"NSCLC-to-BC","TIGIT",0.090274601267389,-0.0156670177113366,0.105941618978726,-0.0011402791688826,-0.0271524731242664,"False","False","True"
"BC-to-HCC","TIGIT",0.023018537669637,-0.0765654206552589,0.0995839583248959,0.0233784596038713,-0.076693129551546,"False","False","True"
"BC-to-CRLM (sens.)","TIGIT",0.0729111244732503,-0.028726347664944,0.101637472138194,0.0868650089373572,-0.0338984757832456,"False","False","True"
"BC-to-DLBCL (partial)","TIGIT",0.0411707930797811,-0.0580069020759663,0.0991776951557474,0.086081904677048,-0.0280727336052933,"False","False","True"
"BC-to-NSCLC (full)","PD-L1",0.0701348191732287,-0.0056290725385522,0.0757638917117809,0.183837767857346,-0.0646385352575576,"False","False","True"
"NSCLC-to-BC","PD-L1",0.0491459404653542,-0.0327206793146383,0.0818666197799925,0.0091881737128668,0.0262129503624583,"False","False","False"
"BC-to-HCC","PD-L1",0.0168977001862287,-0.0449738225161573,0.061871522702386,0.0155415474538896,-0.0454124986308872,"False","False","True"
"BC-to-BTC (partial)","PD-L1",-0.0213957645896451,-0.0334169607381368,0.0120211961484917,-0.0174146892183326,-0.0171892883995686,"False","False","False"
"BTC-to-BC (partial)","PD-L1",0.0153748247712846,-0.0986983711046123,0.114073195875897,0.0284323885507425,-0.018988379177017,"False","False","True"
"BC-to-CRLM (sens.)","PD-L1",-0.030964114537531,0.0245322262790874,-0.0554963408166184,0.0174968827880597,0.0326723523967529,"False","False","False"
"BC-to-NSCLC (full)","PD-1",-0.0043169382285035,-0.0395205279573283,0.0352035897288248,-0.0101168447763527,-0.0225622581730986,"False","False","True"
"NSCLC-to-BC","PD-1",-0.0691297733920113,-0.109063523585989,0.0399337501939775,-0.0245773668945591,-0.0200873057499623,"False","False","False"
"BC-to-HCC","PD-1",0.0928665151365925,-0.0447265579420847,0.137593073078677,0.0938585446308242,-0.0529140649073615,"False","False","True"
"BC-to-BTC (partial)","PD-1",-0.136305878154219,0.0407335290127784,-0.177039407166997,-0.138846627168288,0.0319013975389858,"False","False","False"
"BTC-to-BC (partial)","PD-1",0.0405567832170931,-0.157651447876733,0.198208231093826,-0.0201615040447396,-0.0704986165808001,"False","False","True"
