"target","donor","n","spearman","analysis"
"CD8A","Patient10",3211,0.139452422474186,"BC-to-NSCLC (alt)"
"CD8A","Patient11",1631,-0.32074596841554,"BC-to-NSCLC (alt)"
"CD8A","Patient3",455,0.148271899674636,"BC-to-NSCLC (alt)"
"CD8A","Patient4",12300,0.0674385168504242,"BC-to-NSCLC (alt)"
"CD8A","Patient5",464,-0.0137376062195336,"BC-to-NSCLC (alt)"
"CD8A","Patient6",8055,0.144936048138137,"BC-to-NSCLC (alt)"
"CD8A","Patient7",9595,0.000799637436280921,"BC-to-NSCLC (alt)"
"CD8A","Patient8",5557,0.0552552956284418,"BC-to-NSCLC (alt)"
"CD8A","Patient9",824,-0.029074264927466,"BC-to-NSCLC (alt)"
"CD4","Patient10",3211,0.0910435614826858,"BC-to-NSCLC (alt)"
"CD4","Patient11",1631,0.0170670998855847,"BC-to-NSCLC (alt)"
"CD4","Patient3",455,0.0151393818330985,"BC-to-NSCLC (alt)"
"CD4","Patient4",12300,0.206763391660882,"BC-to-NSCLC (alt)"
"CD4","Patient5",464,0.146483133407169,"BC-to-NSCLC (alt)"
"CD4","Patient6",8055,0.0994151259052607,"BC-to-NSCLC (alt)"
"CD4","Patient7",9595,0.16908845895896,"BC-to-NSCLC (alt)"
"CD4","Patient8",5557,0.111107360732917,"BC-to-NSCLC (alt)"
"CD4","Patient9",824,0.0233512465427434,"BC-to-NSCLC (alt)"
"CD14","Patient10",3211,-0.0314317051458745,"BC-to-NSCLC (alt)"
"CD14","Patient11",1631,0.0638064025209863,"BC-to-NSCLC (alt)"
"CD14","Patient3",455,-0.168869097515052,"BC-to-NSCLC (alt)"
"CD14","Patient4",12300,-0.117967442211647,"BC-to-NSCLC (alt)"
"CD14","Patient5",464,0.0620353308331552,"BC-to-NSCLC (alt)"
"CD14","Patient6",8055,-0.0268634176493845,"BC-to-NSCLC (alt)"
"CD14","Patient7",9595,-0.0155642066225221,"BC-to-NSCLC (alt)"
"CD14","Patient8",5557,-0.0393839385206663,"BC-to-NSCLC (alt)"
"CD14","Patient9",824,-0.0428440499796774,"BC-to-NSCLC (alt)"
"CD19","Patient10",3211,0.0398916398295971,"BC-to-NSCLC (alt)"
"CD19","Patient11",1631,-0.0405170393811175,"BC-to-NSCLC (alt)"
"CD19","Patient3",455,0.10431343523159,"BC-to-NSCLC (alt)"
"CD19","Patient4",12300,0.123682320772003,"BC-to-NSCLC (alt)"
"CD19","Patient5",464,-0.115432674173608,"BC-to-NSCLC (alt)"
"CD19","Patient6",8055,0.0251864858883702,"BC-to-NSCLC (alt)"
"CD19","Patient7",9595,0.0761156857192304,"BC-to-NSCLC (alt)"
"CD19","Patient8",5557,0.0566510696908524,"BC-to-NSCLC (alt)"
"CD19","Patient9",824,-0.125399958604078,"BC-to-NSCLC (alt)"
"CTLA4","Patient10",3211,-0.0338344261551801,"BC-to-NSCLC (alt)"
"CTLA4","Patient11",1631,-0.0204587353780871,"BC-to-NSCLC (alt)"
"CTLA4","Patient3",455,-0.0859434676151579,"BC-to-NSCLC (alt)"
"CTLA4","Patient4",12300,0.115658440433919,"BC-to-NSCLC (alt)"
"CTLA4","Patient5",464,0.132234520237269,"BC-to-NSCLC (alt)"
"CTLA4","Patient6",8055,0.0192121095438678,"BC-to-NSCLC (alt)"
"CTLA4","Patient7",9595,0.00597689814448557,"BC-to-NSCLC (alt)"
"CTLA4","Patient8",5557,0.0868259769104847,"BC-to-NSCLC (alt)"
"CTLA4","Patient9",824,-0.10711076840912,"BC-to-NSCLC (alt)"
"TIGIT","Patient10",3211,0.0531203920996267,"BC-to-NSCLC (alt)"
"TIGIT","Patient11",1631,0.132128522042588,"BC-to-NSCLC (alt)"
"TIGIT","Patient3",455,0.142126028388491,"BC-to-NSCLC (alt)"
"TIGIT","Patient4",12300,0.0658954368079577,"BC-to-NSCLC (alt)"
"TIGIT","Patient5",464,0.196633528494584,"BC-to-NSCLC (alt)"
"TIGIT","Patient6",8055,0.00101015212230494,"BC-to-NSCLC (alt)"
"TIGIT","Patient7",9595,-0.00129733168975045,"BC-to-NSCLC (alt)"
"TIGIT","Patient8",5557,0.239456687795842,"BC-to-NSCLC (alt)"
