"target","timepoint","n_sections","observed_median","ci_low","ci_high"
"CD14","post",6,-0.137562136638168,-0.577213991697554,0.0406651331769688
"CD14","pre",6,-0.244907857209863,-0.505118431042025,-0.0973905573997028
"CD19","post",6,0.0815372613969277,-0.144409406361314,0.327510059280114
"CD19","pre",6,0.209947050754982,-0.175122830287371,0.460533854168463
"CD4","post",6,0.096214903360453,-0.111056447356532,0.309777282755348
"CD4","pre",6,-0.19952670899086,-0.692999606679987,0.252815233346361
"CD8A","post",6,0.0354981926372588,-0.225764801365554,0.303320796687572
"CD8A","pre",6,-0.175586583119833,-0.521553412752163,0.193693760919219
"HLA-DR","post",6,0.298713443673876,0.125022062552495,0.442282202757791
"HLA-DR","pre",6,0.296919232529704,0.202014757191819,0.573393566850059
"PD-1","post",6,0.029550683668068,-0.206699276445192,0.174410472518532
"PD-1","pre",6,-0.00160029302925815,-0.404119389695727,0.284169909741509
"PD-L1","post",6,-0.158456611946656,-0.367891700913451,0.0780332282818008
"PD-L1","pre",6,-0.100459961137169,-0.516895343205153,0.0767125888552146
