source,target,analysis_role,bootstrap_n,spearman_median,spearman_lo,spearman_hi,specificity_delta_median,specificity_delta_lo,specificity_delta_hi,r2_median,r2_lo,r2_hi,calibration_slope_median,calibration_slope_lo,calibration_slope_hi,sd_ratio_median,sd_ratio_lo,sd_ratio_hi,complete_gate_pass_probability
GSE334503,CD19,primary_direct,500,0.28706760488471383,0.2540301972921836,0.3209509577788791,0.4783883303838287,0.4233467195401623,0.5374271857400176,0.09407290816307068,0.024588543176651004,0.14967391788959503,1.3620704603922094,1.2420831829780987,1.4577508300748951,0.3496416425339459,0.32326947295635866,0.3702608818693537,0.994
GSE334503,CD314 (NKG2D),primary_direct,500,0.48195010061276033,0.45018055702578613,0.5145197830373494,0.43155860015306224,0.4015152643703564,0.4652313627164798,0.06801870465278625,0.041748815774917604,0.09155109673738479,1.6077401183277003,1.5312289370168386,1.695511914117702,0.2541156511759767,0.23720271426714756,0.2711221070106244,1.0
GSE334503,CD38,primary_direct,500,0.262175579095866,0.24492718768344313,0.278008201282369,0.3648848844464653,0.3380024072538428,0.39272799198988645,0.0661209225654602,0.054820415377616886,0.07379155755043029,1.509584537122881,1.3657104492218226,1.707863478690973,0.18526943492636563,0.16270554770848533,0.20928878911320614,1.0
GSE334503,CD16,sensitivity_non_direct,500,0.5002042788516212,0.44840095014474096,0.548219847232652,0.28945755011958385,0.24604000641249385,0.33252973189845714,0.19659820199012756,0.1681816980242729,0.2171661749482155,1.4698507313550255,1.3008195837469438,1.7232541462609958,0.32800395654229836,0.28298706472832696,0.3726434205283597,1.0
GSE334503,CD3,sensitivity_non_direct,500,0.6807186860641753,0.6483503664266753,0.7089574913193442,0.525045269568764,0.4800346437164351,0.5785329535173216,0.29361534118652344,0.26233538836240766,0.31900592297315594,1.974217014835167,1.8864234571594733,2.045540923117769,0.32199246047148866,0.312897883043417,0.3306218227498954,0.762
GSE335494,CD19,primary_direct,500,0.28773544621308034,0.2555003132391036,0.32608254401098796,0.4814362896357989,0.4238351368011584,0.5418600978872319,0.01729881763458252,-0.06801259219646454,0.08959591239690778,1.3636073627952054,1.2612289114094155,1.4505825325665846,0.3503308483716776,0.32709936986781685,0.37024564406848365,0.65
GSE335494,CD314 (NKG2D),primary_direct,500,0.4823575753878986,0.45173401414967224,0.5135889874895917,0.43262139144360917,0.4036919950171817,0.4669549168917815,0.011541754007339478,-0.020468920469284058,0.04139706939458842,1.569269818450075,1.5009251538916368,1.6586641653716128,0.26021660480957554,0.24318139717515996,0.2780140666178729,0.77
GSE335494,CD38,primary_direct,500,0.26284753318923115,0.24412833930568406,0.2782309479194098,0.3662696477071171,0.33373815419420466,0.3927724970866422,0.0021283328533172607,-0.048954549431800845,0.03710806071758269,1.690558505066646,1.515509378670369,1.9138214191036007,0.16591705590179967,0.14765444863714342,0.18711162921968194,0.544
GSE335494,CD16,sensitivity_non_direct,500,0.4995611508571075,0.45679544459572224,0.5488394815678509,0.28945342197091295,0.24008940440056345,0.32869960727643754,0.14179003238677979,0.061443063616752634,0.20463051646947858,0.6316760680068174,0.5549312632868934,0.7316018650641473,0.7650133055089661,0.668872843811759,0.8746206775195418,1.0
GSE335494,CD3,sensitivity_non_direct,500,0.680691400865741,0.6505065620827113,0.7090460217721869,0.5244205505511272,0.4778370494738293,0.5788487724682241,0.31132814288139343,0.2815379470586777,0.3505172416567802,0.8508430259786732,0.8154233362857933,0.8867843045774683,0.7463209649077902,0.7247397872276307,0.7674345759192306,1.0
