source,target,analysis_role,null,replicates,complete_gate_pass_probability,rho_mean,specificity_delta_mean
GSE334503,CD103 (Integrin αE),primary_direct,NullA,200,0.0,-0.00026599592872591555,-0.0008468584700522655
GSE334503,CD103 (Integrin αE),primary_direct,NullB,200,0.0,-0.01060141150076113,-0.006223152620330241
GSE334503,CD107a (LAMP-1),primary_direct,NullA,200,0.0,0.003150817794856045,0.0033526986165919336
GSE334503,CD107a (LAMP-1),primary_direct,NullB,200,0.0,0.024825122023110685,0.027488735200093716
GSE334503,CD11b,primary_direct,NullA,200,0.0,0.0022093593947895267,0.0024744668030986395
GSE334503,CD11b,primary_direct,NullB,200,0.835,0.30630164018892525,0.30560321790899025
GSE334503,CD11c,primary_direct,NullA,200,0.0,0.0029836404098756036,0.00302800180942161
GSE334503,CD11c,primary_direct,NullB,200,1.0,0.5283688767902234,0.5559858151575078
GSE334503,CD123,primary_direct,NullA,200,0.0,0.002261768208991365,0.002456853802603594
GSE334503,CD123,primary_direct,NullB,200,0.925,0.20075383564326302,0.21989644423080879
GSE334503,CD127 (IL-7Rα),primary_direct,NullA,200,0.0,0.016651188651369254,0.017176111323100204
GSE334503,CD127 (IL-7Rα),primary_direct,NullB,200,0.92,0.7109607478131135,0.7123235802901589
GSE334503,CD137 (4-1BB),primary_direct,NullA,200,0.0,-0.0008699187267602078,-0.0010090427096702951
GSE334503,CD137 (4-1BB),primary_direct,NullB,200,0.0,0.025180357195233132,0.024341898538505612
GSE334503,CD141 (Thrombomodulin),primary_direct,NullA,200,0.0,0.0013016294067444637,0.001052878784483087
GSE334503,CD141 (Thrombomodulin),primary_direct,NullB,200,0.0,0.17332664712789428,0.18224435959917376
GSE334503,CD154,primary_direct,NullA,200,0.0,0.0009763511197821397,0.001250400732238478
GSE334503,CD154,primary_direct,NullB,200,0.0,0.03254487086308348,0.040281511995739615
GSE334503,CD155 (PVR),primary_direct,NullA,200,0.0,0.0013562880003957537,0.0015625789624570089
GSE334503,CD155 (PVR),primary_direct,NullB,200,0.0,0.12150445742502165,0.12443133289993245
GSE334503,CD16,sensitivity_non_direct,NullA,200,0.0,0.009563391409503335,0.010776136863075237
GSE334503,CD16,sensitivity_non_direct,NullB,200,0.97,0.49997051168375095,0.5145214825337923
GSE334503,CD161,primary_direct,NullA,200,0.0,0.007323827918916592,0.007254277278608299
GSE334503,CD161,primary_direct,NullB,200,1.0,0.6214074710242043,0.6203233739195452
GSE334503,CD183 (CXCR3),primary_direct,NullA,200,0.0,0.0020311949259739707,0.0021256079056999554
GSE334503,CD183 (CXCR3),primary_direct,NullB,200,0.0,0.14380693204669115,0.1375581617958385
GSE334503,CD185 (CXCR5),primary_direct,NullA,200,0.0,0.007739997755964301,0.007225586849955267
GSE334503,CD185 (CXCR5),primary_direct,NullB,200,0.81,0.21788655117062639,0.22837878626720498
GSE334503,CD19,primary_direct,NullA,200,0.0,0.005232623541224664,0.005170439773193276
GSE334503,CD19,primary_direct,NullB,200,0.8,0.2896239547333032,0.31250091437581295
GSE334503,CD194 (CCR4),primary_direct,NullA,200,0.0,0.0022498898353095122,0.0020014789160550015
GSE334503,CD194 (CCR4),primary_direct,NullB,200,0.0,0.23865951259285087,0.24627821363832592
GSE334503,CD196 (CCR6),primary_direct,NullA,200,0.0,0.006033140113968252,0.00601539582639616
GSE334503,CD196 (CCR6),primary_direct,NullB,200,0.0,0.2214725569069424,0.23893641463283147
GSE334503,CD1c,primary_direct,NullA,200,0.0,0.0008445794390371048,0.0008640946493628351
GSE334503,CD1c,primary_direct,NullB,200,0.0,0.17394548331810905,0.1942289816458137
GSE334503,CD20,primary_direct,NullA,200,0.0,0.010945344514908646,0.011371485778319783
GSE334503,CD20,primary_direct,NullB,200,0.0,0.40743711169195934,0.45998146505392223
GSE334503,CD21,primary_direct,NullA,200,0.0,-0.0001423337307261667,-8.419629491756746e-05
GSE334503,CD21,primary_direct,NullB,200,0.0,0.0951393169657387,0.10508198423314521
GSE334503,CD223 (LAG-3),primary_direct,NullA,200,0.0,0.0032365793849274656,0.003419616857032867
GSE334503,CD223 (LAG-3),primary_direct,NullB,200,0.0,0.05159687217533295,0.04929245032859071
GSE334503,CD226 (DNAM-1),primary_direct,NullA,200,0.0,-0.000562474565990935,-0.00033440891668252564
GSE334503,CD226 (DNAM-1),primary_direct,NullB,200,0.0,0.1203107535530269,0.12029042538599993
GSE334503,CD244 (2B4),primary_direct,NullA,200,0.0,0.0072058745692693375,0.00745371388423186
GSE334503,CD244 (2B4),primary_direct,NullB,200,0.97,0.2596058623488154,0.26410154541353803
GSE334503,CD25,primary_direct,NullA,200,0.0,0.0011397893418425406,0.00098491040517856
GSE334503,CD25,primary_direct,NullB,200,0.0,0.12944430835351803,0.13704907154835275
GSE334503,CD27,primary_direct,NullA,200,0.0,0.008553916665604058,0.009457035456508668
GSE334503,CD27,primary_direct,NullB,200,0.97,0.4381047470257575,0.47250359963001143
GSE334503,CD274 (B7-H1; PD-L1),primary_direct,NullA,200,0.0,0.00023113890867774617,0.0001772757337197999
GSE334503,CD274 (B7-H1; PD-L1),primary_direct,NullB,200,0.0,0.0025449419036275432,0.002804388089711771
GSE334503,CD279,primary_direct,NullA,200,0.0,0.004855090314641739,0.0050133677120281495
GSE334503,CD279,primary_direct,NullB,200,0.0,0.17019160407448358,0.17109301908167082
GSE334503,CD28,primary_direct,NullA,200,0.0,0.006765239559434199,0.0064654248044553045
GSE334503,CD28,primary_direct,NullB,200,0.965,0.3553242536041074,0.34851262126364524
GSE334503,CD3,sensitivity_non_direct,NullA,200,0.0,0.012464544773156935,0.013548781451076193
GSE334503,CD3,sensitivity_non_direct,NullB,200,0.96,0.6812711204321633,0.7005067465778503
GSE334503,CD303 (BDCA-2),primary_direct,NullA,200,0.0,-5.4726591804920144e-05,-7.775296665648116e-05
GSE334503,CD303 (BDCA-2),primary_direct,NullB,200,0.0,0.10775688695233737,0.12282156311146189
