replicate,null,targets_passing_both_sources,fraction_passing_both_sources
0,NullA,0,0.0
0,NullB,5,0.11627906976744186
1,NullA,0,0.0
1,NullB,5,0.11627906976744186
2,NullA,0,0.0
2,NullB,5,0.11627906976744186
3,NullA,0,0.0
3,NullB,4,0.09302325581395349
4,NullA,0,0.0
4,NullB,5,0.11627906976744186
5,NullA,0,0.0
5,NullB,5,0.11627906976744186
6,NullA,0,0.0
6,NullB,5,0.11627906976744186
7,NullA,0,0.0
7,NullB,4,0.09302325581395349
8,NullA,0,0.0
8,NullB,5,0.11627906976744186
9,NullA,0,0.0
9,NullB,5,0.11627906976744186
10,NullA,0,0.0
10,NullB,5,0.11627906976744186
11,NullA,0,0.0
11,NullB,5,0.11627906976744186
12,NullA,0,0.0
12,NullB,5,0.11627906976744186
13,NullA,0,0.0
13,NullB,5,0.11627906976744186
14,NullA,0,0.0
14,NullB,5,0.11627906976744186
15,NullA,0,0.0
15,NullB,5,0.11627906976744186
16,NullA,0,0.0
16,NullB,5,0.11627906976744186
17,NullA,0,0.0
17,NullB,5,0.11627906976744186
18,NullA,0,0.0
18,NullB,5,0.11627906976744186
19,NullA,0,0.0
19,NullB,5,0.11627906976744186
20,NullA,0,0.0
20,NullB,4,0.09302325581395349
21,NullA,0,0.0
21,NullB,5,0.11627906976744186
22,NullA,0,0.0
22,NullB,4,0.09302325581395349
23,NullA,0,0.0
23,NullB,5,0.11627906976744186
24,NullA,0,0.0
24,NullB,5,0.11627906976744186
25,NullA,0,0.0
25,NullB,5,0.11627906976744186
26,NullA,0,0.0
26,NullB,5,0.11627906976744186
27,NullA,0,0.0
27,NullB,5,0.11627906976744186
28,NullA,0,0.0
28,NullB,5,0.11627906976744186
29,NullA,0,0.0
29,NullB,5,0.11627906976744186
30,NullA,0,0.0
30,NullB,5,0.11627906976744186
31,NullA,0,0.0
31,NullB,5,0.11627906976744186
32,NullA,0,0.0
32,NullB,5,0.11627906976744186
33,NullA,0,0.0
33,NullB,5,0.11627906976744186
34,NullA,0,0.0
34,NullB,5,0.11627906976744186
35,NullA,0,0.0
35,NullB,5,0.11627906976744186
36,NullA,0,0.0
36,NullB,5,0.11627906976744186
37,NullA,0,0.0
37,NullB,5,0.11627906976744186
38,NullA,0,0.0
38,NullB,5,0.11627906976744186
39,NullA,0,0.0
39,NullB,5,0.11627906976744186
40,NullA,0,0.0
40,NullB,5,0.11627906976744186
41,NullA,0,0.0
41,NullB,5,0.11627906976744186
42,NullA,0,0.0
42,NullB,4,0.09302325581395349
43,NullA,0,0.0
43,NullB,4,0.09302325581395349
44,NullA,0,0.0
44,NullB,4,0.09302325581395349
45,NullA,0,0.0
45,NullB,5,0.11627906976744186
46,NullA,0,0.0
46,NullB,5,0.11627906976744186
47,NullA,0,0.0
47,NullB,3,0.06976744186046512
48,NullA,0,0.0
48,NullB,4,0.09302325581395349
49,NullA,0,0.0
49,NullB,4,0.09302325581395349
50,NullA,0,0.0
50,NullB,4,0.09302325581395349
51,NullA,0,0.0
51,NullB,5,0.11627906976744186
52,NullA,0,0.0
52,NullB,5,0.11627906976744186
53,NullA,0,0.0
53,NullB,5,0.11627906976744186
54,NullA,0,0.0
54,NullB,3,0.06976744186046512
55,NullA,0,0.0
55,NullB,5,0.11627906976744186
56,NullA,0,0.0
56,NullB,5,0.11627906976744186
57,NullA,0,0.0
57,NullB,5,0.11627906976744186
58,NullA,0,0.0
58,NullB,5,0.11627906976744186
59,NullA,0,0.0
59,NullB,5,0.11627906976744186
60,NullA,0,0.0
60,NullB,5,0.11627906976744186
61,NullA,0,0.0
61,NullB,5,0.11627906976744186
62,NullA,0,0.0
62,NullB,5,0.11627906976744186
63,NullA,0,0.0
63,NullB,4,0.09302325581395349
64,NullA,0,0.0
64,NullB,4,0.09302325581395349
65,NullA,0,0.0
65,NullB,5,0.11627906976744186
66,NullA,0,0.0
66,NullB,5,0.11627906976744186
67,NullA,0,0.0
67,NullB,5,0.11627906976744186
68,NullA,0,0.0
68,NullB,5,0.11627906976744186
69,NullA,0,0.0
69,NullB,5,0.11627906976744186
70,NullA,0,0.0
70,NullB,5,0.11627906976744186
71,NullA,0,0.0
71,NullB,5,0.11627906976744186
72,NullA,0,0.0
