target,analysis_role,sources_pass_rank,sources_pass_numeric,median_spearman,median_specificity_delta,median_r2,median_calibration_slope,cross_source_classification
CD103 (Integrin αE),primary_direct,0,0,0.0,0.0,-0.2717841267585754,-1.9969534437543912,weak_or_nontransportable
CD107a (LAMP-1),primary_direct,0,0,0.0,0.0,-0.23867899179458615,-0.15036706261568078,weak_or_nontransportable
CD11b,primary_direct,2,1,0.3063016401889252,0.389867383009297,-1.5626896619796753,0.9077106588178332,rank_invariant_both_sources
CD11c,primary_direct,2,1,0.5283688767902234,0.5212329329655607,-0.1017150580883026,3.0843665061117655,rank_invariant_both_sources
CD123,primary_direct,2,1,0.200753835643263,0.28262711842990806,-0.3879091739654541,2.812065438949598,rank_invariant_both_sources
CD127 (IL-7Rα),primary_direct,2,1,0.7109607478131135,0.6365442048705559,-0.1220221221446991,1.5194139699208549,rank_invariant_both_sources
CD137 (4-1BB),primary_direct,0,0,0.0251803571952331,0.0295550779484696,-4.470898866653442,2.6355600896565434,weak_or_nontransportable
CD141 (Thrombomodulin),primary_direct,0,0,0.1733266471278942,0.019218360261367307,-2.055200219154358,3.7082597938935553,weak_or_nontransportable
CD154,primary_direct,0,0,0.0,0.0,-2.070867955684662,-0.17528416648993367,weak_or_nontransportable
CD155 (PVR),primary_direct,0,0,0.1215044574250216,0.1365028643248417,-0.1587796807289123,16.282702741355568,weak_or_nontransportable
CD16,sensitivity_non_direct,2,2,0.4999705116837509,0.5907732482797929,0.16981926560401917,1.0489861870822228,numerically_transportable_both_sources
CD161,primary_direct,2,1,0.6214074710242043,0.8133748605378044,-0.20632430911064148,1.4001559772775782,rank_invariant_both_sources
CD183 (CXCR3),primary_direct,0,0,0.0,0.0,-2.5441285371780396,-3.3933745559549804,weak_or_nontransportable
CD185 (CXCR5),primary_direct,2,1,0.2178865511706263,0.3463354094226829,-0.17258134484291077,1.7378090699344657,rank_invariant_both_sources
CD19,primary_direct,2,2,0.2896239547333032,0.41887897694681653,0.05925187468528745,1.3620618166492608,numerically_transportable_both_sources
CD194 (CCR4),primary_direct,2,0,0.2386595125928508,0.2319691706800926,-0.40046900510787964,1.5705323428956808,rank_invariant_both_sources
CD196 (CCR6),primary_direct,2,0,0.2214725569069424,0.2754218984051043,-0.47513657808303833,6.302045947941794,rank_invariant_both_sources
CD1c,primary_direct,0,0,0.173945483318109,0.183690782272666,-0.2657774686813354,1.0369376899147251,weak_or_nontransportable
CD20,primary_direct,2,0,0.4074371116919593,0.5512794871732292,-0.14913657307624814,1.548621964962463,rank_invariant_both_sources
CD21,primary_direct,0,0,0.0951393169657387,0.021492665161040897,-0.7128506898880005,1.2511852740028322,weak_or_nontransportable
CD223 (LAG-3),primary_direct,0,0,0.0515968721753329,0.0519891374181297,-16.863134384155273,1.9342310584288298,weak_or_nontransportable
CD226 (DNAM-1),primary_direct,0,0,0.1203107535530269,0.0699666748709559,-0.6278883814811707,1.148351688747151,weak_or_nontransportable
CD244 (2B4),primary_direct,2,1,0.2596058623488154,0.2737708833972899,-0.0563426613807678,1.5249911702195897,rank_invariant_both_sources
CD25,primary_direct,0,0,0.129444308353518,0.190571975121106,-0.630259871482849,1.84614460935048,weak_or_nontransportable
CD27,primary_direct,0,1,0.4381047470257575,0.0,-0.2693823873996735,1.3860358863781441,weak_or_nontransportable
CD274 (B7-H1; PD-L1),primary_direct,0,0,0.0,0.0,-0.0750511288642883,0.20114815512414713,weak_or_nontransportable
CD279,primary_direct,0,0,0.1701916040744835,0.1537745638272894,-4.12437504529953,2.0928278582508826,weak_or_nontransportable
CD28,primary_direct,2,1,0.3553242536041074,0.4718738547251641,-0.189283162355423,1.089519469461095,rank_invariant_both_sources
CD3,sensitivity_non_direct,2,2,0.6812711204321633,0.7748961352980932,0.303316205739975,1.412144837999927,numerically_transportable_both_sources
CD303 (BDCA-2),primary_direct,0,0,0.1077568869523373,0.1342715958224111,-0.8469471335411072,1.3622040886515057,weak_or_nontransportable
CD314 (NKG2D),primary_direct,2,2,0.4820410079551812,0.5439892646956214,0.0399827361106872,1.5889236855533189,numerically_transportable_both_sources
CD319 (CRACC),primary_direct,0,0,0.1159461127849981,0.1279605805223193,-4.55186802148819,1.6591335130535108,weak_or_nontransportable
CD33,primary_direct,2,1,0.3370323860122842,0.4457158953377588,-0.3774914145469666,1.393538221966639,rank_invariant_both_sources
CD38,primary_direct,2,2,0.262611704287201,0.2840922553688237,0.034693688154220546,1.6015708439729006,numerically_transportable_both_sources
CD4,primary_direct,2,1,0.3293042531736488,0.245521033082162,0.01286417245864865,1.1191150091502726,rank_invariant_both_sources
CD45,primary_direct,0,0,0.0759975196250723,0.0734049447963762,-6.642896831035614,1.9627507252396856,weak_or_nontransportable
CD45RA,sensitivity_non_direct,0,0,0.0025925748286961,0.0347086556714952,-0.20712584257125852,0.03219251852155655,weak_or_nontransportable
CD45RO,sensitivity_non_direct,0,0,0.0040422203136221,-0.0719552993114502,-1.697178602218628,0.13891655076574588,weak_or_nontransportable
CD57 Recombinant,sensitivity_non_direct,0,0,0.081096973008595,0.0882588608847308,-7.161631107330322,0.7816495534036767,weak_or_nontransportable
CD69,primary_direct,0,1,0.19278552685761,0.3385496619327884,-2.3482547402381897,1.0496273723436418,weak_or_nontransportable
CD79b (Igβ),primary_direct,0,0,0.1987160933599691,0.253815251123191,-0.6745347380638123,0.9283156382629096,weak_or_nontransportable
HLA-DR,sensitivity_non_direct,2,1,0.7066010455474249,0.49831314635350454,-1.7538623511791231,0.7264726451948746,rank_invariant_both_sources
TIGIT (VSTM3),primary_direct,2,1,0.2135376116580016,0.290797038312187,-1.376506716012955,1.4219221478035415,rank_invariant_both_sources
